##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	P22R1_R2_001.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	165273
Total Bases	31.4 Mbp
Sequences flagged as poor quality	0
Sequence length	35-250
%GC	55
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.16182921590338	37.0	37.0	37.0	37.0	37.0
2	36.81194750503712	37.0	37.0	37.0	37.0	37.0
3	36.672094050449864	37.0	37.0	37.0	37.0	37.0
4	36.66801594936862	37.0	37.0	37.0	37.0	37.0
5	36.82646893321958	37.0	37.0	37.0	37.0	37.0
6	36.83143042118192	37.0	37.0	37.0	37.0	37.0
7	36.669927937412645	37.0	37.0	37.0	37.0	37.0
8	36.642603450049315	37.0	37.0	37.0	37.0	37.0
9	36.681508776388156	37.0	37.0	37.0	37.0	37.0
10-14	36.76757970146364	37.0	37.0	37.0	37.0	37.0
15-19	36.66188669655661	37.0	37.0	37.0	37.0	37.0
20-24	36.78724655569876	37.0	37.0	37.0	37.0	37.0
25-29	36.63485747823299	37.0	37.0	37.0	37.0	37.0
30-34	36.59445160431528	37.0	37.0	37.0	37.0	37.0
35-39	36.6530127470896	37.0	37.0	37.0	37.0	37.0
40-44	36.458071677186766	37.0	37.0	37.0	37.0	37.0
45-49	36.326763700162445	37.0	37.0	37.0	37.0	37.0
50-54	36.55582889304602	37.0	37.0	37.0	37.0	37.0
55-59	36.64699540527887	37.0	37.0	37.0	37.0	37.0
60-64	36.64819969906041	37.0	37.0	37.0	37.0	37.0
65-69	36.669877768693205	37.0	37.0	37.0	37.0	37.0
70-74	36.279568457450296	37.0	37.0	37.0	37.0	37.0
75-79	36.585834048786985	37.0	37.0	37.0	37.0	37.0
80-84	36.59201780464965	37.0	37.0	37.0	37.0	37.0
85-89	36.53097638493936	37.0	37.0	37.0	37.0	37.0
90-94	36.51629332407239	37.0	37.0	37.0	37.0	37.0
95-99	36.54028567809401	37.0	37.0	37.0	37.0	37.0
100-104	36.26603295390191	37.0	37.0	37.0	37.0	37.0
105-109	36.35570577103874	37.0	37.0	37.0	37.0	37.0
110-114	36.314380887831575	37.0	37.0	37.0	37.0	37.0
115-119	36.23224564980626	37.0	37.0	37.0	37.0	37.0
120-124	36.28957421450481	37.0	37.0	37.0	37.0	37.0
125-129	36.312325133407654	37.0	37.0	37.0	37.0	37.0
130-134	36.28334437706671	37.0	37.0	37.0	37.0	37.0
135-139	36.238392132791276	37.0	37.0	37.0	37.0	37.0
140-144	36.323444747770466	37.0	37.0	37.0	37.0	37.0
145-149	36.419080393056205	37.0	37.0	37.0	37.0	37.0
150-154	36.37360670670378	37.0	37.0	37.0	37.0	37.0
155-159	36.34316976910897	37.0	37.0	37.0	37.0	37.0
160-164	36.33982169218949	37.0	37.0	37.0	37.0	37.0
165-169	35.790947449105	37.0	37.0	37.0	34.6	37.0
170-174	36.08517620702678	37.0	37.0	37.0	37.0	37.0
175-179	36.251145710351636	37.0	37.0	37.0	37.0	37.0
180-184	35.98244238849561	37.0	37.0	37.0	37.0	37.0
185-189	35.671904015713764	37.0	37.0	37.0	34.6	37.0
190-194	35.81678636465598	37.0	37.0	37.0	34.6	37.0
195-199	36.15516998612128	37.0	37.0	37.0	37.0	37.0
200-204	36.19146925756521	37.0	37.0	37.0	37.0	37.0
205-209	36.17109692270466	37.0	37.0	37.0	37.0	37.0
210-214	35.92118288539561	37.0	37.0	37.0	37.0	37.0
215-219	35.161308024409024	37.0	37.0	37.0	29.8	37.0
220-224	35.94617112627522	37.0	37.0	37.0	34.6	37.0
225-229	35.46537816002037	37.0	37.0	37.0	29.8	37.0
230-234	35.51649416224835	37.0	37.0	37.0	29.8	37.0
235-239	34.21630180760398	37.0	34.6	37.0	24.6	37.0
240-244	35.0083274609147	37.0	34.6	37.0	31.8	37.0
245-249	35.48808609663298	37.0	37.0	37.0	34.6	37.0
250	33.93151092238648	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
2101	1	-0.2697976346174187
2101	2	-0.007098468503265565
2101	3	0.05483808327056039
2101	4	0.036570082528392334
2101	5	0.01934403692958142
2101	6	0.018824780629500992
2101	7	1.445057769444702E-4
2101	8	-3.045372419947512E-4
2101	9	0.006084374402448134
2101	10-14	-0.04130700166022905
2101	15-19	-0.040896881478659
2101	20-24	0.020184808652615516
2101	25-29	-0.06325709985553374
2101	30-34	-0.027929544043324483
2101	35-39	-0.02341744403274504
2101	40-44	-0.01411019496742938
2101	45-49	0.0631674887920255
2101	50-54	0.02015512527005825
2101	55-59	-0.027969695253133864
2101	60-64	-0.0364955431877263
2101	65-69	0.0016687145477618515
2101	70-74	-0.1391823495702056
2101	75-79	0.01847069361541287
2101	80-84	0.03439251222241069
2101	85-89	-0.02770838168913059
2101	90-94	-0.06040255550260554
2101	95-99	-0.02120175554768622
2101	100-104	-0.01784553401894584
2101	105-109	-0.019614252562291767
2101	110-114	-0.08610749930102202
2101	115-119	-0.01487476932113907
2101	120-124	-0.0164796500486446
2101	125-129	-0.1670885368155055
2101	130-134	-0.05695522345952497
2101	135-139	-0.0815168106233628
2101	140-144	-0.05802800970644739
2101	145-149	-0.05437169611938941
2101	150-154	0.006915031308352582
2101	155-159	-0.05070726786149038
2101	160-164	-0.11325793693634267
2101	165-169	-0.3009393198012873
2101	170-174	-0.4418867409515457
2101	175-179	-0.0446013806813923
2101	180-184	-0.30830382006475787
2101	185-189	-0.20019322575600995
2101	190-194	-0.029067025378296307
2101	195-199	-0.16300110746615815
2101	200-204	-0.12334673334645885
2101	205-209	-0.3136802591497059
2101	210-214	-0.2438998601502007
2101	215-219	-0.20226204512274393
2101	220-224	-0.22925493183658574
2101	225-229	-0.12487319670227492
2101	230-234	-0.19002312282554357
2101	235-239	-0.7646833765204164
2101	240-244	-0.7720243931315096
2101	245-249	-0.291704067656525
2101	250	-2.1533801971056725
2102	1	0.03907327351696921
2102	2	-0.05494795190681856
2102	3	-0.23332983630010062
2102	4	-0.05750568881553875
2102	5	-0.02197788186136762
2102	6	-0.08633219831388317
2102	7	-0.09134574707922383
2102	8	0.04355217517849752
2102	9	-0.09538128414389746
2102	10-14	-0.054896625962946644
2102	15-19	-0.1673519240368222
2102	20-24	-0.06446773331495592
2102	25-29	-0.04980486745451884
2102	30-34	-0.02104980398647882
2102	35-39	-0.07444255317707871
2102	40-44	-0.12322608110149957
2102	45-49	-0.08713113379750581
2102	50-54	-0.044280711348037016
2102	55-59	-0.04623537967979274
2102	60-64	-0.03895560598643044
2102	65-69	-0.025801942372815745
2102	70-74	-0.03999968219640948
2102	75-79	0.009483814100910593
2102	80-84	-0.060079848032494
2102	85-89	-0.03916708678363534
2102	90-94	-0.11447464583289957
2102	95-99	-0.09553159409009027
2102	100-104	-0.05358297975558912
2102	105-109	-0.06670092402951155
2102	110-114	-0.12214723060041166
2102	115-119	-0.12435648410199462
2102	120-124	-0.01309383372478834
2102	125-129	-0.15083456549785268
2102	130-134	-0.17871565903121223
2102	135-139	-0.25319766844237535
2102	140-144	-0.17596520786286618
2102	145-149	-0.1299936396479353
2102	150-154	-0.0680733256295909
2102	155-159	-0.16550106367790107
2102	160-164	-0.09095173631300213
2102	165-169	-0.3218505549583952
2102	170-174	-0.25962351895297076
2102	175-179	-0.31577552874422565
2102	180-184	-0.38196388607811826
2102	185-189	-0.15904507692462744
2102	190-194	-0.1970332302520248
2102	195-199	-0.3842994158651294
2102	200-204	-0.20158036090338527
2102	205-209	-0.2990936225153007
2102	210-214	-0.4115688488382645
2102	215-219	-0.3847750966418815
2102	220-224	-0.2445110122292391
2102	225-229	-0.20315496638949782
2102	230-234	-0.4054340211067142
2102	235-239	-1.075769670064517
2102	240-244	-0.8378191036281564
2102	245-249	-0.524570934480522
2102	250	-1.5145456178455632
2103	1	-0.37880277393878004
2103	2	-0.04001914586907418
2103	3	-0.09535417857867401
2103	4	-0.15571841833259725
2103	5	-0.04622784027750271
2103	6	-0.0051350287225488955
2103	7	-0.04240333018527309
2103	8	-0.09280787979975003
2103	9	-0.13664839421259956
2103	10-14	-0.03079915497813346
