##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	P1_R1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	101613
Total Bases	25.4 Mbp
Sequences flagged as poor quality	0
Sequence length	150-250
%GC	56
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.173530945843545	37.0	37.0	37.0	37.0	37.0
2	36.49352937124187	37.0	37.0	37.0	37.0	37.0
3	36.87017409189769	37.0	37.0	37.0	37.0	37.0
4	36.653075885959474	37.0	37.0	37.0	37.0	37.0
5	36.88243630244162	37.0	37.0	37.0	37.0	37.0
6	36.6045191068072	37.0	37.0	37.0	37.0	37.0
7	36.781937350535856	37.0	37.0	37.0	37.0	37.0
8	36.52777695767274	37.0	37.0	37.0	37.0	37.0
9	36.70785234172793	37.0	37.0	37.0	37.0	37.0
10-14	36.82691387912964	37.0	37.0	37.0	37.0	37.0
15-19	36.79644730497082	37.0	37.0	37.0	37.0	37.0
20-24	36.79217619792743	37.0	37.0	37.0	37.0	37.0
25-29	36.673533898221685	37.0	37.0	37.0	37.0	37.0
30-34	36.464729906606436	37.0	37.0	37.0	37.0	37.0
35-39	36.53936996250479	37.0	37.0	37.0	37.0	37.0
40-44	36.48319998425398	37.0	37.0	37.0	37.0	37.0
45-49	36.54983712713924	37.0	37.0	37.0	37.0	37.0
50-54	36.423109247832464	37.0	37.0	37.0	37.0	37.0
55-59	36.56831901429935	37.0	37.0	37.0	37.0	37.0
60-64	36.50091818960173	37.0	37.0	37.0	37.0	37.0
65-69	36.220434393237085	37.0	37.0	37.0	34.6	37.0
70-74	36.513357542834086	37.0	37.0	37.0	37.0	37.0
75-79	36.054321789534804	37.0	37.0	37.0	34.6	37.0
80-84	36.223559977561926	37.0	37.0	37.0	37.0	37.0
85-89	36.53130012892051	37.0	37.0	37.0	37.0	37.0
90-94	36.418952299410506	37.0	37.0	37.0	37.0	37.0
95-99	36.387519313473675	37.0	37.0	37.0	37.0	37.0
100-104	36.6014761890703	37.0	37.0	37.0	37.0	37.0
105-109	36.443346815860174	37.0	37.0	37.0	37.0	37.0
110-114	36.39608514658558	37.0	37.0	37.0	37.0	37.0
115-119	36.36637634948285	37.0	37.0	37.0	37.0	37.0
120-124	36.186596203241706	37.0	37.0	37.0	37.0	37.0
125-129	36.24121519884267	37.0	37.0	37.0	37.0	37.0
130-134	36.50696072352947	37.0	37.0	37.0	37.0	37.0
135-139	36.415539350279985	37.0	37.0	37.0	37.0	37.0
140-144	36.28117858935373	37.0	37.0	37.0	37.0	37.0
145-149	36.40050584078809	37.0	37.0	37.0	37.0	37.0
150-154	36.51703394168993	37.0	37.0	37.0	37.0	37.0
155-159	35.8358130623129	37.0	37.0	37.0	34.6	37.0
160-164	35.883535233705246	37.0	37.0	37.0	34.6	37.0
165-169	36.05270246146803	37.0	37.0	37.0	37.0	37.0
170-174	36.323830803484555	37.0	37.0	37.0	37.0	37.0
175-179	36.114518923558066	37.0	37.0	37.0	37.0	37.0
180-184	36.28805570443832	37.0	37.0	37.0	37.0	37.0
185-189	36.06034012805542	37.0	37.0	37.0	37.0	37.0
190-194	36.43433836340548	37.0	37.0	37.0	37.0	37.0
195-199	36.215288845759545	37.0	37.0	37.0	37.0	37.0
200-204	35.540565443376906	37.0	37.0	37.0	34.6	37.0
205-209	35.48162360075476	37.0	37.0	37.0	32.2	37.0
210-214	34.84028390984571	37.0	34.6	37.0	29.4	37.0
215-219	34.86298225061773	37.0	37.0	37.0	27.4	37.0
220-224	35.227871628273284	37.0	37.0	37.0	29.8	37.0
225-229	35.34848512122937	37.0	37.0	37.0	29.8	37.0
230-234	32.88836559097442	37.0	29.8	37.0	19.0	37.0
235-239	34.921070342681	37.0	34.6	37.0	32.2	37.0
240-244	34.88838221250874	37.0	37.0	37.0	29.8	37.0
245-249	32.80903590913383	37.0	34.6	37.0	19.4	37.0
250	35.14231500921627	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
2101	1	0.01453959553509776
2101	2	0.1929373471237099
2101	3	-0.06639647961350192
2101	4	0.12988839628737736
2101	5	-0.08528765351881162
2101	6	0.04909257008975487
2101	7	0.08622992279980224
2101	8	0.09795566356667251
2101	9	0.08222455334158241
2101	10-14	-0.007428159035860915
2101	15-19	4.2405316349203304E-4
2101	20-24	-0.008154807391363761
2101	25-29	0.00843049777774496
2101	30-34	-0.031527838068818426
2101	35-39	-0.055025714902356526
2101	40-44	-0.06252370838753762
2101	45-49	-0.1135356625466244
2101	50-54	-0.19453664191736664
2101	55-59	-0.015079709826906651
2101	60-64	-0.06741460207010164
2101	65-69	0.003419350636953311
2101	70-74	-0.04751910822515981
2101	75-79	-0.11777453899326673
2101	80-84	-0.06163708737727802
2101	85-89	-0.05254755942394951
2101	90-94	-0.10269103876325403
2101	95-99	-0.10321314705206674
2101	100-104	-0.06801755956978184
2101	105-109	0.034720710498213236
2101	110-114	-0.1379056937473493
2101	115-119	-0.061102249748401505
2101	120-124	-0.16537798503301815
2101	125-129	-0.12172562610948034
2101	130-134	-0.09140064087970501
2101	135-139	-0.12579833849277833
2101	140-144	-0.06660320864577329
2101	145-149	-0.015323058131151868
2101	150-154	-0.011368947556412934
2101	155-159	-0.12544925973983112
2101	160-164	-0.08554879095483159
2101	165-169	-0.13542798519889487
2101	170-174	-0.021078825520262967
2101	175-179	-0.2046364384793904
2101	180-184	-0.1863628911247588
2101	185-189	0.007765613028574592
2101	190-194	-0.08670917211562568
2101	195-199	0.13351024875231587
2101	200-204	0.01934582533554874
2101	205-209	-0.6767208646873755
2101	210-214	-0.22191430691702152
2101	215-219	-0.6625692985372069
2101	220-224	-0.06433944010252901
2101	225-229	-0.2149853949093341
2101	230-234	-1.273727093491729
2101	235-239	-0.7046444583427771
2101	240-244	-0.44608376584415765
2101	245-249	-1.0336723308479172
2101	250	0.08531835636932072
2102	1	-0.036596768101269106
2102	2	-0.09494144075507904
2102	3	-0.059957085674106736
2102	4	0.09807021446919606
2102	5	-0.08396189594304815
2102	6	0.15818347918066422
2102	7	-0.08233068326080684
2102	8	0.0610238453848595
2102	9	-0.07099514362811021
2102	10-14	0.020961992479300307
2102	15-19	-0.03442443168498244
2102	20-24	-0.02660177708833089
2102	25-29	-0.08944829010103206
2102	30-34	-0.14005056534154647
2102	35-39	-0.03968480581144007
2102	40-44	0.009976291612467492
2102	45-49	-0.005353844364805127
2102	50-54	-0.12033209646282472
2102	55-59	-0.03288274012993497
2102	60-64	-0.05510399600949256
2102	65-69	-0.013020043302432782
2102	70-74	0.03945058874453622
2102	75-79	-0.023304842023556205
2102	80-84	-0.007546178286368388
2102	85-89	-0.14110816548455318
2102	90-94	-0.09890315997537158
2102	95-99	-0.0424555712944894
2102	100-104	0.002777894975672268
2102	105-109	0.13157677110427102
2102	110-114	-0.0447996331412881
2102	115-119	-0.04034467399082331
2102	120-124	0.061743227088193464
2102	125-129	-0.09786198974585147
2102	130-134	0.0446599651809052
2102	135-139	0.0675349948405497
2102	140-144	-0.19474714803970983
2102	145-149	-0.08077760358569464
2102	150-154	-0.03818712937459168
2102	155-159	-0.2915477445883141
2102	160-164	-0.0791093970154435
2102	165-169	-0.23084465186556713
2102	170-174	0.11744390175245911
2102	175-179	-0.08357583241878075
2102	180-184	0.009849230087361605
2102	185-189	0.002235309998276591
2102	190-194	-0.013110687267143817
2102	195-199	0.04161630935837479
2102	200-204	-0.01974508375535322
2102	205-209	-0.492061773778282
2102	210-214	-0.644414306917021
2102	215-219	-0.7351071773250837
2102	220-224	-0.21608186434495735
2102	225-229	-0.1906672130911531
2102	230-234	-1.0949392147038495
2102	235-239	-0.16210657955488728
2102	240-244	-0.3804398264502211
2102	245-249	-1.0494299066054964
2102	250	0.5164252331799162
2103	1	-0.5510091849527043
2103	2	0.13002160432991872
2103	3	-0.118918652562499
2103	4	0.05366888409225368
2103	5	-0.027291533784882915
2103	6	0.1203231687593771
2103	7	-0.07493970026006735
2103	8	0.1317001203294268
2103	9	0.16156213649014717
2103	10-14	-0.06471058697376719
2103	15-19	0.04277438575773118
2103	20-24	-0.04203784508536046
2103	25-29	0.020736484473978578
2103	30-34	-0.1460372615721468
2103	35-39	-0.12216817609969155
2103	40-44	-0.29259577047179874
2103	45-49	-0.14712768028497436
2103	50-54	-0.23737200777102885
2103	55-59	-0.18877704907301762
2103	60-64	-0.14630872623861535
2103	65-69	-0.1910651282987459
2103	70-74	-0.09330624791473241
2103	75-79	-0.4962390622748529
2103	80-84	-0.10326679912893866
2103	85-89	-0.17297438869224635
2103	90-94	-0.19021875494950535
2103	95-99	-0.11418875680816143
2103	100-104	-0.17163452187577377
2103	105-109	-0.1131312850671975
2103	110-114	-0.42124826580943164
2103	115-119	-0.16814216105660051
2103	120-124	-0.2501895149665003
2103	125-129	-0.2878287303223459
2103	130-134	-0.13375097347393705
2103	135-139	-0.12463425867016298
2103	140-144	-0.11628447250386387
2103	145-149	-0.2837266058029897
2103	150-154	-0.1730651781550776
2103	155-159	-0.2376305235979288
2103	160-164	-0.24128604150915578
2103	165-169	-0.30312477012130046
2103	170-174	-0.030516186939330225
2103	175-179	-0.17608876663903317
2103	180-184	-0.2884552727702996
2103	185-189	-0.15926596226636036
2103	190-194	-0.1266961603182537
2103	195-199	-0.1674144563136153
2103	200-204	-0.1978297471835333
2103	205-209	-0.7682311006346296
2103	210-214	-0.5478979987976587
2103	215-219	-0.9244039619653819
2103	220-224	-0.388841521990102
2103	225-229	-0.2414722096213353
2103	230-234	-0.9452746299247607
2103	235-239	-0.578916665143602
2103	240-244	-0.773157846343814
2103	245-249	-0.9084190345259238
2103	250	0.32806211070658264
2104	1	-0.03296040446490167
2104	2	-0.1603094061230408
2104	3	-0.12168868740570815
2104	4	-0.014397317998337655
2104	5	-0.20075843273959038
2104	6	0.15584581684300503
2104	7	-0.15159475252487198
2104	8	0.010114754475765153
2104	9	-0.047531940164908804
2104	10-14	-0.04930640578910328
2104	15-19	-0.03845906371961405
2104	20-24	-0.06994376843032057
2104	25-29	-0.04432274897549604
2104	30-34	0.034339045048064065
2104	35-39	0.023016492889851747
2104	40-44	0.014080187716352555
2104	45-49	0.0364123894014341
2104	50-54	-6.437847745104364E-4
2104	55-59	0.03606964082244701
2104	60-64	-0.059242524148025666
2104	65-69	-0.0581975324799231
2104	70-74	0.04700037229432752
2104	75-79	0.02247870775998706
2104	80-84	-0.12365007439026954
2104	85-89	-0.027618987995374766
2104	90-94	-0.025431298503512778
2104	95-99	-0.11478457562348865
2104	100-104	0.02069997289775216
2104	105-109	0.04712655465406357
2104	110-114	-0.08208101842267013
2104	115-119	-0.06727108091723721
2104	120-124	-0.0035727902278210877
2104	125-129	-0.0736022494861146
2104	130-134	-0.00623180971087578
2104	135-139	0.017006856312413277
2104	140-144	-0.07234022163277842
2104	145-149	-0.09771266852075655
2104	150-154	0.06238429919683597
2104	155-159	-0.1699719870125591
2104	160-164	-0.13813970004574117
2104	165-169	-0.24261954364045835
2104	170-174	-0.0056729813644125215
2104	175-179	-0.13259747744042727
