##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	P22R2_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	203624
Total Bases	41.9 Mbp
Sequences flagged as poor quality	0
Sequence length	35-250
%GC	56
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.475911483911524	37.0	37.0	37.0	37.0	37.0
2	35.93558224963658	37.0	37.0	37.0	37.0	37.0
3	36.70204396338349	37.0	37.0	37.0	37.0	37.0
4	36.73192256315562	37.0	37.0	37.0	37.0	37.0
5	36.80308313361883	37.0	37.0	37.0	37.0	37.0
6	36.54473441244647	37.0	37.0	37.0	37.0	37.0
7	36.673481514949124	37.0	37.0	37.0	37.0	37.0
8	36.66264782147488	37.0	37.0	37.0	37.0	37.0
9	36.66990629788237	37.0	37.0	37.0	37.0	37.0
10-14	36.792549011904285	37.0	37.0	37.0	37.0	37.0
15-19	36.78449789808668	37.0	37.0	37.0	37.0	37.0
20-24	36.767631516913525	37.0	37.0	37.0	37.0	37.0
25-29	36.61586748123993	37.0	37.0	37.0	37.0	37.0
30-34	36.431121085923074	37.0	37.0	37.0	37.0	37.0
35-39	36.53995470163439	37.0	37.0	37.0	37.0	37.0
40-44	36.493827811965005	37.0	37.0	37.0	37.0	37.0
45-49	36.54264763294664	37.0	37.0	37.0	37.0	37.0
50-54	36.42375380744606	37.0	37.0	37.0	37.0	37.0
55-59	36.54916563760204	37.0	37.0	37.0	37.0	37.0
60-64	36.45096765046233	37.0	37.0	37.0	37.0	37.0
65-69	36.25833399981816	37.0	37.0	37.0	34.6	37.0
70-74	36.47546111989035	37.0	37.0	37.0	37.0	37.0
75-79	36.05468026762613	37.0	37.0	37.0	34.6	37.0
80-84	36.20482773132822	37.0	37.0	37.0	37.0	37.0
85-89	36.460880213529414	37.0	37.0	37.0	37.0	37.0
90-94	36.39867047222985	37.0	37.0	37.0	37.0	37.0
95-99	36.36396435878676	37.0	37.0	37.0	37.0	37.0
100-104	36.531652669445045	37.0	37.0	37.0	37.0	37.0
105-109	36.366232887843424	37.0	37.0	37.0	37.0	37.0
110-114	36.37431577053387	37.0	37.0	37.0	37.0	37.0
115-119	36.265380456392734	37.0	37.0	37.0	37.0	37.0
120-124	36.16498795103229	37.0	37.0	37.0	37.0	37.0
125-129	36.17752092795795	37.0	37.0	37.0	37.0	37.0
130-134	36.48725970134909	37.0	37.0	37.0	37.0	37.0
135-139	36.3844388384131	37.0	37.0	37.0	37.0	37.0
140-144	36.1554070933059	37.0	37.0	37.0	34.6	37.0
145-149	36.42828235738282	37.0	37.0	37.0	37.0	37.0
150-154	36.44457617648358	37.0	37.0	37.0	37.0	37.0
155-159	35.989220995500055	37.0	37.0	37.0	37.0	37.0
160-164	35.84688375061612	37.0	37.0	37.0	32.2	37.0
165-169	36.01895934838613	37.0	37.0	37.0	37.0	37.0
170-174	36.25460966849904	37.0	37.0	37.0	37.0	37.0
175-179	36.067216049706516	37.0	37.0	37.0	37.0	37.0
180-184	36.222045511723955	37.0	37.0	37.0	37.0	37.0
185-189	35.97865997124844	37.0	37.0	37.0	37.0	37.0
190-194	36.380565144174646	37.0	37.0	37.0	37.0	37.0
195-199	36.14232735723862	37.0	37.0	37.0	37.0	37.0
200-204	35.456177539897794	37.0	37.0	37.0	34.6	37.0
205-209	35.58438653995356	37.0	37.0	37.0	32.2	37.0
210-214	34.69015877969155	37.0	34.6	37.0	29.4	37.0
215-219	34.66016114442992	37.0	37.0	37.0	29.8	37.0
220-224	35.183586871466375	37.0	37.0	37.0	29.8	37.0
225-229	35.47217439051131	37.0	37.0	37.0	32.2	37.0
230-234	32.83661154884121	37.0	29.8	37.0	21.8	37.0
235-239	35.16370616721793	37.0	37.0	37.0	32.2	37.0
240-244	34.707541898657965	37.0	37.0	37.0	29.8	37.0
245-249	33.077362345577185	37.0	34.6	37.0	19.4	37.0
250	34.88510510710597	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
2101	1	-0.09051695055313758
2101	2	0.3014079560987426
2101	3	0.029475190219386604
2101	4	0.05733254021090062
2101	5	-0.04556058354707204
2101	6	0.12760883245730525
2101	7	-0.020541799171731157
2101	8	-0.0522320753441079
2101	9	-0.0013822820790849732
2101	10-14	-0.045783174335284116
2101	15-19	-0.004230494263097739
2101	20-24	-0.03863015738557607
2101	25-29	-0.029401227269978847
2101	30-34	-0.04089596041191612
2101	35-39	-0.05468439473524711
2101	40-44	-0.10532479494126079
2101	45-49	-0.008019390991435671
2101	50-54	-0.006109975397109224
2101	55-59	-0.019614795026996035
2101	60-64	-0.05614728535424973
2101	65-69	-0.031171061903037867
2101	70-74	-0.07381897186881048
2101	75-79	-0.082604951268749
2101	80-84	-0.10991652357695614
2101	85-89	-0.17164045839997044
2101	90-94	-0.10044672044536895
2101	95-99	-0.10598003585476334
2101	100-104	-0.1571429337266892
2101	105-109	-0.06660940774363411
2101	110-114	-0.1448037332413179
2101	115-119	-0.19774799002835408
2101	120-124	-0.12480515185620078
2101	125-129	-0.15610709271606282
2101	130-134	-0.10116522151008667
2101	135-139	-0.12158516093474958
2101	140-144	-0.2533501363912052
2101	145-149	-0.08841993488906752
2101	150-154	-0.12678710182410668
2101	155-159	-0.16095424064815234
2101	160-164	-0.2010991619223148
2101	165-169	-0.18049276590214447
2101	170-174	-0.06909657519015866
2101	175-179	-0.1563719981740732
2101	180-184	-0.3009794238274992
2101	185-189	-0.21074274003446902
2101	190-194	-0.1857298332945163
2101	195-199	-0.026459238338432556
2101	200-204	0.07702967660127058
2101	205-209	-0.5928419952437949
2101	210-214	-0.3817763530579086
2101	215-219	-0.7318011603680432
2101	220-224	-0.19703738463904585
2101	225-229	-0.4304957593000367
2101	230-234	-1.3175072567039692
2101	235-239	-0.6447254723286449
2101	240-244	-0.5352404732408118
2101	245-249	-0.8909779048209074
2101	250	-0.012775159192464969
2102	1	-0.03000158509046713
2102	2	-0.8263206499246536
2102	3	-0.017823489817452298
2102	4	0.11678204394568326
2102	5	-0.11843994505326094
2102	6	0.08549450386492197
2102	7	-0.05061615368587269
2102	8	0.03966652283454408
2102	9	-0.045138037732414205
2102	10-14	-0.03868496157223689
2102	15-19	-0.05102779294313109
2102	20-24	-0.018613274135809377
2102	25-29	-0.005493522368723802
2102	30-34	0.017192651068697273
2102	35-39	-0.1377457946251397
2102	40-44	-0.12499481511373034
2102	45-49	-0.11744216733427493
2102	50-54	-0.16554350677358798
2102	55-59	-0.0919030588694909
2102	60-64	-0.16157466301064716
2102	65-69	-0.09435035534178837
2102	70-74	-0.12737921057455992
2102	75-79	-0.1641122371969459
2102	80-84	-0.13442590537254517
2102	85-89	-0.08831255805969107
2102	90-94	-0.1425224113977137
2102	95-99	-0.17221835167381272
2102	100-104	-0.10583523437711051
2102	105-109	-0.11117007659922251
2102	110-114	-0.1816474636653851
2102	115-119	-0.14689757267912995
2102	120-124	-0.15806961092877003
2102	125-129	-0.07716189304080245
2102	130-134	-0.10799457768222709
2102	135-139	-0.15974551284755734
2102	140-144	-0.318849844762255
2102	145-149	-0.14047984299917715
2102	150-154	-0.14197727067274002
2102	155-159	-0.22804918851851141
2102	160-164	-0.22294593341779745
2102	165-169	-0.24542585389144023
2102	170-174	-0.10036535559008541
2102	175-179	-0.1835179950343644
2102	180-184	-0.09020600676837631
2102	185-189	-0.15981233710406428
2102	190-194	-0.1988475726979715
2102	195-199	-0.15284477361642246
2102	200-204	-0.14285846123563317
2102	205-209	-0.5601635589763134
2102	210-214	-0.47344452169343754
2102	215-219	-0.8718962009000393
2102	220-224	-0.3458999354263028
2102	225-229	-0.19647462455947817
2102	230-234	-0.833275248903611
2102	235-239	-0.3422606661516099
2102	240-244	-0.6614430188965912
2102	245-249	-1.0901417649818157
2102	250	0.1406593644890819
2103	1	-0.11547415280307405
2103	2	-0.19067446013994527
2103	3	-0.14583662195963143
2103	4	-0.010728110314900619
2103	5	-0.02556792030421917
2103	6	-0.06726766546394458
2103	7	0.003534992219805133
2103	8	-0.030533616063110003
2103	9	-0.05802816126715271
2103	10-14	-0.07322081189948904
