##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	P22R1_R1_001.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	165273
Total Bases	31.4 Mbp
Sequences flagged as poor quality	0
Sequence length	35-250
%GC	56
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.76314945574897	37.0	37.0	37.0	37.0	37.0
2	36.36374362418544	37.0	37.0	37.0	37.0	37.0
3	36.808208237280134	37.0	37.0	37.0	37.0	37.0
4	36.62728334331681	37.0	37.0	37.0	37.0	37.0
5	36.821301725024654	37.0	37.0	37.0	37.0	37.0
6	36.61579931386252	37.0	37.0	37.0	37.0	37.0
7	36.741772703345376	37.0	37.0	37.0	37.0	37.0
8	36.49531986470869	37.0	37.0	37.0	37.0	37.0
9	36.70657034119306	37.0	37.0	37.0	37.0	37.0
10-14	36.79055623120534	37.0	37.0	37.0	37.0	37.0
15-19	36.777742280953326	37.0	37.0	37.0	37.0	37.0
20-24	36.763772667041806	37.0	37.0	37.0	37.0	37.0
25-29	36.60580010043988	37.0	37.0	37.0	37.0	37.0
30-34	36.42289424164867	37.0	37.0	37.0	37.0	37.0
35-39	36.54649716918302	37.0	37.0	37.0	37.0	37.0
40-44	36.493850918641456	37.0	37.0	37.0	37.0	37.0
45-49	36.548323210839314	37.0	37.0	37.0	37.0	37.0
50-54	36.44924819858291	37.0	37.0	37.0	37.0	37.0
55-59	36.55389552193575	37.0	37.0	37.0	37.0	37.0
60-64	36.49581792644261	37.0	37.0	37.0	37.0	37.0
65-69	36.293309432733125	37.0	37.0	37.0	37.0	37.0
70-74	36.48406680785216	37.0	37.0	37.0	37.0	37.0
75-79	36.084479319777344	37.0	37.0	37.0	34.6	37.0
80-84	36.223017452645415	37.0	37.0	37.0	37.0	37.0
85-89	36.46389029874589	37.0	37.0	37.0	37.0	37.0
90-94	36.36089461359474	37.0	37.0	37.0	37.0	37.0
95-99	36.321582667971526	37.0	37.0	37.0	37.0	37.0
100-104	36.51440595734322	37.0	37.0	37.0	37.0	37.0
105-109	36.36763046776925	37.0	37.0	37.0	37.0	37.0
110-114	36.33191135238475	37.0	37.0	37.0	37.0	37.0
115-119	36.29408373068337	37.0	37.0	37.0	37.0	37.0
120-124	36.13395594254407	37.0	37.0	37.0	37.0	37.0
125-129	36.180455571655614	37.0	37.0	37.0	37.0	37.0
130-134	36.441208142412755	37.0	37.0	37.0	37.0	37.0
135-139	36.34833245834753	37.0	37.0	37.0	37.0	37.0
140-144	36.21589268640334	37.0	37.0	37.0	37.0	37.0
145-149	36.348770714221175	37.0	37.0	37.0	37.0	37.0
150-154	36.450430763454214	37.0	37.0	37.0	37.0	37.0
155-159	35.800420246199096	37.0	37.0	37.0	34.6	37.0
160-164	35.830026574016834	37.0	37.0	37.0	34.6	37.0
165-169	36.00667439839852	37.0	37.0	37.0	37.0	37.0
170-174	36.2564056151954	37.0	37.0	37.0	37.0	37.0
175-179	36.05337619254207	37.0	37.0	37.0	37.0	37.0
180-184	36.22035034681668	37.0	37.0	37.0	37.0	37.0
185-189	35.99528989686585	37.0	37.0	37.0	37.0	37.0
190-194	36.34965757019681	37.0	37.0	37.0	37.0	37.0
195-199	36.12827971656262	37.0	37.0	37.0	37.0	37.0
200-204	35.47571682943611	37.0	37.0	37.0	34.6	37.0
205-209	35.43136577538023	37.0	37.0	37.0	32.2	37.0
210-214	34.79577757058398	37.0	34.6	37.0	29.4	37.0
215-219	34.81536385644175	37.0	37.0	37.0	27.4	37.0
220-224	35.18444693946621	37.0	37.0	37.0	29.8	37.0
225-229	35.28489818573304	37.0	37.0	37.0	29.8	37.0
230-234	32.89552780899944	37.0	29.8	37.0	19.0	37.0
235-239	34.88757500090249	37.0	34.6	37.0	32.2	37.0
240-244	34.80989767553319	37.0	37.0	37.0	29.8	37.0
245-249	32.81471827019184	37.0	34.6	37.0	19.4	37.0
250	35.09027829729932	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
2101	1	-0.16070030399335877
2101	2	-0.09445882905463066
2101	3	0.020498178640160347
2101	4	0.0802266028196641
2101	5	-0.14412007790206616
2101	6	0.013862608552322797
2101	7	-0.08105482336072356
2101	8	0.055411807424022186
2101	9	0.006427511746572634
2101	10-14	-0.0682660805132258
2101	15-19	-0.053198103455095236
2101	20-24	-0.026092074871627347
2101	25-29	-0.1019328417973071
2101	30-34	-0.16178875907704793
2101	35-39	-0.1537265393504157
2101	40-44	-0.14705336402970914
2101	45-49	-0.1433617377764662
2101	50-54	-0.21769988223081782
2101	55-59	-0.04944358127598747
2101	60-64	-0.11375336509161116
2101	65-69	-0.06449580093271123
2101	70-74	-0.10521982322975987
2101	75-79	-0.16125054133369332
2101	80-84	-0.10718924772901062
2101	85-89	-0.08601208091317858
2101	90-94	-0.1297543698099588
2101	95-99	-0.19909950624651884
2101	100-104	-0.16691359279653994
2101	105-109	-0.017265548814229703
2101	110-114	-0.16791552736959403
2101	115-119	-0.1751628073966529
2101	120-124	-0.2397523101797745
2101	125-129	-0.15468553550748965
2101	130-134	-0.1896248866326502
2101	135-139	-0.15897245947837035
2101	140-144	-0.14409514654850142
2101	145-149	-0.05380460953746535
2101	150-154	-0.07289199471789232
2101	155-159	-0.16296817864462554
2101	160-164	-0.1423342778903276
2101	165-169	-0.21083712440581337
2101	170-174	-0.10339778099615415
2101	175-179	-0.3280472807301109
2101	180-184	-0.24532486823898125
2101	185-189	-0.040415337335844015
2101	190-194	-0.23206080082603364
2101	195-199	0.045858113845923754
2101	200-204	-0.09532662861217034
2101	205-209	-0.694737300283002
2101	210-214	-0.2945689629750916
2101	215-219	-0.7072131010269374
2101	220-224	-0.22610491976492852
2101	225-229	-0.27415342676444254
2101	230-234	-1.3336246753327217
2101	235-239	-0.7951759002589114
2101	240-244	-0.5197093704218787
2101	245-249	-1.098302369129474
2101	250	0.09711035745907992
2102	1	-0.0633752431597614
2102	2	-0.34180990449409165
2102	3	-0.045536891077532005
2102	4	0.07030626983271304
2102	5	-0.09726625100136488
2102	6	0.1202819118246623
2102	7	-0.0952041602418987
2102	8	0.061991546176507484
2102	9	-0.007556607024959305
2102	10-14	-0.004292613961922598
2102	15-19	-0.05241143336812115
2102	20-24	-0.008170257820253823
2102	25-29	-0.03100528703982519
2102	30-34	-0.07439243706404852
2102	35-39	-0.03449268942492267
2102	40-44	-0.01038762705394447
2102	45-49	-0.0029433768704549834
2102	50-54	-0.0868878352524618
2102	55-59	-0.03348848596503018
2102	60-64	-0.029782584856256733
2102	65-69	0.008653944511685552
2102	70-74	-0.041270256319251075
2102	75-79	-0.024536721493177538
2102	80-84	-0.10497738508999532
2102	85-89	-0.13305647381848473
2102	90-94	-0.12547169315420348
2102	95-99	-0.10574159574006359
2102	100-104	-0.07300388283436376
2102	105-109	0.027798144070978026
2102	110-114	-0.05288628479496538
2102	115-119	-0.019431323447122395
2102	120-124	-0.017328940898323708
2102	125-129	-0.08488919540159401
2102	130-134	-0.019895115531774366
2102	135-139	0.08961598696274109
2102	140-144	-0.2082684306536251
2102	145-149	-0.11045541862337416
2102	150-154	-0.06674478372014647
2102	155-159	-0.29567121894173454
2102	160-164	-0.11429772455871756
2102	165-169	-0.2507823684030015
2102	170-174	0.11396209173313565
2102	175-179	-0.14361944396219428
2102	180-184	-0.008289541118372767
2102	185-189	0.0037999801651125154
2102	190-194	-0.10040159036805107
2102	195-199	0.006102796196586269
2102	200-204	-0.005431050681558247
2102	205-209	-0.5698207379133748
2102	210-214	-0.6572328342888909
2102	215-219	-0.7038455500735168
2102	220-224	-0.24104265253077273
2102	225-229	-0.20643580170600728
2102	230-234	-1.0488021088703974
2102	235-239	-0.20095043209411045
2102	240-244	-0.36058785309290897
2102	245-249	-1.1466263883875385
2102	250	0.47272401952999843
2103	1	-0.7953435646121818
2103	2	-0.08902856080604238
2103	3	-0.08474908179506002
2103	4	-0.08447006469096863
2103	5	-0.06007714509821227
2103	6	-0.011401649695983451
2103	7	-0.19667992978213533
2103	8	-0.028579302778965143
2103	9	-0.003363998526893397
2103	10-14	-0.0662448510146163
