##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	P1_R1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	105629
Total Bases	25.8 Mbp
Sequences flagged as poor quality	0
Sequence length	100-250
%GC	56
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.14695774834563	37.0	37.0	37.0	37.0	37.0
2	36.49555519790967	37.0	37.0	37.0	37.0	37.0
3	36.87090666388965	37.0	37.0	37.0	37.0	37.0
4	36.6573857558057	37.0	37.0	37.0	37.0	37.0
5	36.881945299112935	37.0	37.0	37.0	37.0	37.0
6	36.61281466264	37.0	37.0	37.0	37.0	37.0
7	36.78488861960257	37.0	37.0	37.0	37.0	37.0
8	36.52815988033589	37.0	37.0	37.0	37.0	37.0
9	36.714775298450235	37.0	37.0	37.0	37.0	37.0
10-14	36.82908670914237	37.0	37.0	37.0	37.0	37.0
15-19	36.797987295155686	37.0	37.0	37.0	37.0	37.0
20-24	36.79415880108682	37.0	37.0	37.0	37.0	37.0
25-29	36.675369453464484	37.0	37.0	37.0	37.0	37.0
30-34	36.46796429010973	37.0	37.0	37.0	37.0	37.0
35-39	36.54408353766485	37.0	37.0	37.0	37.0	37.0
40-44	36.483460034649575	37.0	37.0	37.0	37.0	37.0
45-49	36.54949114353066	37.0	37.0	37.0	37.0	37.0
50-54	36.4290886025618	37.0	37.0	37.0	37.0	37.0
55-59	36.571837279534975	37.0	37.0	37.0	37.0	37.0
60-64	36.504253566728835	37.0	37.0	37.0	37.0	37.0
65-69	36.235675808726775	37.0	37.0	37.0	34.6	37.0
70-74	36.514493178956535	37.0	37.0	37.0	37.0	37.0
75-79	36.07438676878509	37.0	37.0	37.0	34.6	37.0
80-84	36.23597118215641	37.0	37.0	37.0	37.0	37.0
85-89	36.530208560149205	37.0	37.0	37.0	37.0	37.0
90-94	36.4176485624213	37.0	37.0	37.0	37.0	37.0
95-99	36.386729023279585	37.0	37.0	37.0	37.0	37.0
100-104	36.59346000333833	37.0	37.0	37.0	37.0	37.0
105-109	36.44137885667114	37.0	37.0	37.0	37.0	37.0
110-114	36.396123926609896	37.0	37.0	37.0	37.0	37.0
115-119	36.366572005688255	37.0	37.0	37.0	37.0	37.0
120-124	36.18732625934875	37.0	37.0	37.0	37.0	37.0
125-129	36.2406635388572	37.0	37.0	37.0	37.0	37.0
130-134	36.504966361304284	37.0	37.0	37.0	37.0	37.0
135-139	36.41442771395815	37.0	37.0	37.0	37.0	37.0
140-144	36.28069502139825	37.0	37.0	37.0	37.0	37.0
145-149	36.399627165291484	37.0	37.0	37.0	37.0	37.0
150-154	36.51608936530217	37.0	37.0	37.0	37.0	37.0
155-159	35.83488231747531	37.0	37.0	37.0	34.6	37.0
160-164	35.882610002994234	37.0	37.0	37.0	34.6	37.0
165-169	36.05176100431727	37.0	37.0	37.0	37.0	37.0
170-174	36.32279327490194	37.0	37.0	37.0	37.0	37.0
175-179	36.11354280657091	37.0	37.0	37.0	37.0	37.0
180-184	36.286972583583044	37.0	37.0	37.0	37.0	37.0
185-189	36.059630429600716	37.0	37.0	37.0	37.0	37.0
190-194	36.43352757052582	37.0	37.0	37.0	37.0	37.0
195-199	36.214610867279035	37.0	37.0	37.0	37.0	37.0
200-204	35.54013328214669	37.0	37.0	37.0	34.6	37.0
205-209	35.481442398033565	37.0	37.0	37.0	32.2	37.0
210-214	34.84026814572827	37.0	34.6	37.0	29.4	37.0
215-219	34.86304018270234	37.0	37.0	37.0	27.4	37.0
220-224	35.22795885219275	37.0	37.0	37.0	29.8	37.0
225-229	35.3485664099651	37.0	37.0	37.0	29.8	37.0
230-234	32.88856796904994	37.0	29.8	37.0	19.0	37.0
235-239	34.92114904335035	37.0	34.6	37.0	32.2	37.0
240-244	34.88843889665492	37.0	37.0	37.0	29.8	37.0
245-249	32.80921857118846	37.0	34.6	37.0	19.4	37.0
250	35.14240656047942	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
2101	1	-0.013079548380837025
2101	2	0.20808283438958597
2101	3	-0.0608073375522622
2101	4	0.10204042122853707
2101	5	-0.11387647654272115
2101	6	0.10712359169401964
2101	7	0.06471934109318056
2101	8	0.08370308529839576
2101	9	0.07919645274937182
2101	10-14	-0.005053009927785013
2101	15-19	-0.001088562318237507
2101	20-24	-0.003724226084422355
2101	25-29	-0.008702895857148008
2101	30-34	-0.037446795185175574
2101	35-39	-0.0730324022082911
2101	40-44	-0.07357276777698729
2101	45-49	-0.10350763509715222
2101	50-54	-0.1835418343479489
2101	55-59	0.0013241574671170042
2101	60-64	-0.05249207927589339
2101	65-69	-0.019778474308111527
2101	70-74	-0.04239390472289273
2101	75-79	-0.09921584571988262
2101	80-84	-0.042563020421901854
2101	85-89	-0.0893051347374012
2101	90-94	-0.09513924836392107
2101	95-99	-0.11143669962945069
2101	100-104	-0.11887204862236445
2101	105-109	0.016359364384584296
2101	110-114	-0.11759130942567708
2101	115-119	-0.05026661565363355
2101	120-124	-0.15364577201614793
2101	125-129	-0.13293735745374846
2101	130-134	-0.08527035361185398
2101	135-139	-0.12639256776243712
2101	140-144	-0.06055973637496237
2101	145-149	-0.022863966685754633
2101	150-154	-0.00619958112665131
2101	155-159	-0.10847201310263443
2101	160-164	-0.06842666294638633
2101	165-169	-0.07955981626671615
2101	170-174	-0.025879342890320345
2101	175-179	-0.202368543171481
2101	180-184	-0.17323238425392162
2101	185-189	-0.02025281697437009
2101	190-194	-0.11216000964093098
2101	195-199	0.16318886070591532
2101	200-204	0.020069919750383747
2101	205-209	-0.6790662378690087
2101	210-214	-0.23030323111596118
2101	215-219	-0.5956018251380399
2101	220-224	-0.11070763600140765
2101	225-229	-0.15238659837425672
2101	230-234	-1.2418968395532133
2101	235-239	-0.7153621668595207
2101	240-244	-0.3942262150179303
2101	245-249	-1.0539544365019857
2101	250	0.06842667616370335
2102	1	-0.10884271827798386
2102	2	-0.1137169393728854
2102	3	-0.056587987613440305
2102	4	0.0505442598323782
2102	5	-0.09861850347824941
2102	6	0.20947698435275441
2102	7	-0.04866463783417885
2102	8	0.05986576735832472
2102	9	-0.055766487293666955
2102	10-14	0.027567387213501604
2102	15-19	-0.04819499240661429
2102	20-24	-0.014560320413004035
2102	25-29	-0.10851021220994284
2102	30-34	-0.13727500736624876
2102	35-39	-0.04477802764655081
2102	40-44	0.027718956068568446
2102	45-49	0.00475927696155054
2102	50-54	-0.10010077364356107
2102	55-59	-0.01246628550435247
2102	60-64	-0.034047492400482327
2102	65-69	-0.0036123363996694025
2102	70-74	0.04466534901474262
2102	75-79	0.004395315063469241
2102	80-84	0.013551119021592228
2102	85-89	-0.1488638711023711
2102	90-94	-0.07967553175956965
2102	95-99	-0.04461505556979262
2102	100-104	-0.007790629233042523
2102	105-109	0.1343433237342211
2102	110-114	-0.010176325126067809
2102	115-119	-0.014814193954705956
2102	120-124	0.07124487924812684
2102	125-129	-0.1128893561642883
2102	130-134	0.04979841077209812
2102	135-139	0.06594623720209114
2102	140-144	-0.1887036757688989
2102	145-149	-0.0883185121402974
2102	150-154	-0.033017762944830054
2102	155-159	-0.27457049795111743
2102	160-164	-0.06198726900699825
2102	165-169	-0.1749764829333884
2102	170-174	0.11264338438240173
2102	175-179	-0.08130793711087136
2102	180-184	0.02297973695819877
2102	185-189	-0.025783120004668092
2102	190-194	-0.03856152479244912
2102	195-199	0.07129492131197424
2102	200-204	-0.019020989340518213
2102	205-209	-0.49440714695991517
2102	210-214	-0.6528032311159606
2102	215-219	-0.6681397039259167
2102	220-224	-0.262450060243836
2102	225-229	-0.1280684165560757
2102	230-234	-1.0631089607653337
2102	235-239	-0.17282428807163086
2102	240-244	-0.3285822756239938
2102	245-249	-1.069712012259565
2102	250	0.4995335529742988
2103	1	-0.6730351148878384
2103	2	0.12894794528300224
2103	3	-0.1295249965602565
2103	4	0.027905802569279103
2103	5	-0.04222997322624167
2103	6	0.17483158070785265
2103	7	-0.039032264061745536
2103	8	0.1315181714508924
2103	9	0.17140095900271035
2103	10-14	-0.0642208735742571
2103	15-19	0.027713476253559577
