##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	P1_R2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	101613
Total Bases	25.4 Mbp
Sequences flagged as poor quality	0
Sequence length	150-250
%GC	55
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.02492791276707	37.0	37.0	37.0	37.0	37.0
2	36.84608268627046	37.0	37.0	37.0	37.0	37.0
3	36.65839016661254	37.0	37.0	37.0	37.0	37.0
4	36.657248580398175	37.0	37.0	37.0	37.0	37.0
5	36.869819806520816	37.0	37.0	37.0	37.0	37.0
6	36.85846299194001	37.0	37.0	37.0	37.0	37.0
7	36.66726698355525	37.0	37.0	37.0	37.0	37.0
8	36.62485115093541	37.0	37.0	37.0	37.0	37.0
9	36.69523584580713	37.0	37.0	37.0	37.0	37.0
10-14	36.78821410646276	37.0	37.0	37.0	37.0	37.0
15-19	36.69480283034651	37.0	37.0	37.0	37.0	37.0
20-24	36.8309133673841	37.0	37.0	37.0	37.0	37.0
25-29	36.752271854979185	37.0	37.0	37.0	37.0	37.0
30-34	36.73016444746243	37.0	37.0	37.0	37.0	37.0
35-39	36.69880231860096	37.0	37.0	37.0	37.0	37.0
40-44	36.39807701770443	37.0	37.0	37.0	34.6	37.0
45-49	36.19925796896066	37.0	37.0	37.0	37.0	37.0
50-54	36.554913249288965	37.0	37.0	37.0	37.0	37.0
55-59	36.69760758958007	37.0	37.0	37.0	37.0	37.0
60-64	36.72552134077333	37.0	37.0	37.0	37.0	37.0
65-69	36.76985425093246	37.0	37.0	37.0	37.0	37.0
70-74	36.301325617785125	37.0	37.0	37.0	37.0	37.0
75-79	36.707348469191935	37.0	37.0	37.0	37.0	37.0
80-84	36.72787340202534	37.0	37.0	37.0	37.0	37.0
85-89	36.6717703443457	37.0	37.0	37.0	37.0	37.0
90-94	36.66755238010885	37.0	37.0	37.0	37.0	37.0
95-99	36.704724789150994	37.0	37.0	37.0	37.0	37.0
100-104	36.414881954080684	37.0	37.0	37.0	37.0	37.0
105-109	36.51122198931239	37.0	37.0	37.0	37.0	37.0
110-114	36.467148888429634	37.0	37.0	37.0	37.0	37.0
115-119	36.377067894855976	37.0	37.0	37.0	37.0	37.0
120-124	36.44567919459124	37.0	37.0	37.0	37.0	37.0
125-129	36.47159320165727	37.0	37.0	37.0	37.0	37.0
130-134	36.446291320992394	37.0	37.0	37.0	37.0	37.0
135-139	36.40012596813399	37.0	37.0	37.0	37.0	37.0
140-144	36.49610581323256	37.0	37.0	37.0	37.0	37.0
145-149	36.59527029021878	37.0	37.0	37.0	37.0	37.0
150-154	36.54996630323495	37.0	37.0	37.0	37.0	37.0
155-159	36.50654129146074	37.0	37.0	37.0	37.0	37.0
160-164	36.49615262693705	37.0	37.0	37.0	37.0	37.0
165-169	35.923161553195584	37.0	37.0	37.0	34.6	37.0
170-174	36.242491867451506	37.0	37.0	37.0	37.0	37.0
175-179	36.41889108796841	37.0	37.0	37.0	37.0	37.0
180-184	36.134149125121766	37.0	37.0	37.0	37.0	37.0
185-189	35.80120682357342	37.0	37.0	37.0	34.6	37.0
190-194	35.956839815334334	37.0	37.0	37.0	34.6	37.0
195-199	36.2985151695065	37.0	37.0	37.0	37.0	37.0
200-204	36.33080209481808	37.0	37.0	37.0	37.0	37.0
205-209	36.30685688072383	37.0	37.0	37.0	37.0	37.0
210-214	36.06284089054883	37.0	37.0	37.0	37.0	37.0
215-219	35.26780598734015	37.0	37.0	37.0	29.8	37.0
220-224	36.08992911990549	37.0	37.0	37.0	34.6	37.0
225-229	35.586220639230454	37.0	37.0	37.0	29.8	37.0
230-234	35.645118037370295	37.0	37.0	37.0	32.2	37.0
235-239	34.30882604253213	37.0	34.6	37.0	29.4	37.0
240-244	35.11810941453281	37.0	34.6	37.0	31.8	37.0
245-249	35.63984370567552	37.0	37.0	37.0	34.6	37.0
250	33.969996059889674	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
2101	1	-0.3265301735318218
2101	2	-0.028926931240761178
2101	3	0.1242945190886715
2101	4	0.10336878632903534
2101	5	0.07308868937408874
2101	6	-0.0683460738700461
2101	7	-0.03934221860012599
2101	8	-0.04790442791288285
2101	9	-0.007957781079795723
2101	10-14	-0.04673506757569612
2101	15-19	-0.01848592529972848
2101	20-24	-0.003448140644351838
2101	25-29	-0.09029968066465699
2101	30-34	0.010450246747787162
2101	35-39	0.011367193648354146
2101	40-44	-0.09590559719196534
2101	45-49	0.12281770407251713
2101	50-54	0.05997398585384417
2101	55-59	-7.182701951933268E-4
2101	60-64	0.021037199240986126
2101	65-69	0.023961559031299373
2101	70-74	-0.10779210462738575
2101	75-79	0.04915121242492404
2101	80-84	0.026133072700581295
2101	85-89	-0.020685167281463634
2101	90-94	-0.07212540082921493
2101	95-99	0.015737505858943734
2101	100-104	-0.015628158741208154
2101	105-109	-0.005455960568404805
2101	110-114	-0.05518160461681987
2101	115-119	0.003051514274076794
2101	120-124	-0.005668428785668311
2101	125-129	-0.12518160012235313
2101	130-134	-0.040516169832450544
2101	135-139	-0.09450092279695355
2101	140-144	-0.03347785033048467
2101	145-149	-0.04791908732923389
2101	150-154	0.028294378115155894
2101	155-159	0.0026835314356432605
2101	160-164	-0.039845727843733414
2101	165-169	-0.2670674645944544
2101	170-174	-0.3902216985493183
2101	175-179	-0.024488757577650233
2101	180-184	-0.3013309177756156
2101	185-189	-0.15755454499188914
2101	190-194	0.007806811072846642
2101	195-199	-0.10153556589260404
2101	200-204	-0.06423984151167161
2101	205-209	-0.28334474271417776
2101	210-214	-0.17804801661947067
2101	215-219	-0.14608612324219195
2101	220-224	-0.2440861703574484
2101	225-229	-0.1349212348103066
2101	230-234	-0.14611691606426547
2101	235-239	-0.6980008963214601
2101	240-244	-0.7360836522401826
2101	245-249	-0.21236519748645577
2101	250	-2.2845317863648162
2102	1	0.1532046749530238
2102	2	-0.044457234271064294
2102	3	-0.077599420305269
2102	4	-0.019737274277026984
2102	5	-0.02425979547439283
2102	6	-0.09940667993065233
2102	7	-0.0317664610243682
2102	8	0.06156526905681403
2102	9	0.006246764374751024
2102	10-14	-0.05491688575751397
2102	15-19	-0.09113744045125571
2102	20-24	-0.01087238306858751
2102	25-29	-0.04673907460405502
2102	30-34	-0.02223914719160547
2102	35-39	-0.07056462453347478
2102	40-44	-0.2232162032525693
2102	45-49	-0.22744744744263556
2102	50-54	-0.16566995354008895
2102	55-59	-0.1100364520133752
2102	60-64	-0.11782643712265894
2102	65-69	-0.14009147127173094
2102	70-74	-0.11067089250617101
2102	75-79	-0.07721242393871108
2102	80-84	-0.1411017757842643
2102	85-89	-0.10345031879661093
2102	90-94	-0.1782617644655815
2102	95-99	-0.1528609789895441
2102	100-104	-0.14024937086242062
2102	105-109	-0.1672362635987099
2102	110-114	-0.19885584704106662
2102	115-119	-0.17675909178652915
2102	120-124	-0.10555479242203347
2102	125-129	-0.17544675163750156
2102	130-134	-0.23956920013547744
2102	135-139	-0.2876448621908949
2102	140-144	-0.17931118366382037
2102	145-149	-0.1693206024807523
2102	150-154	-0.04458440976362965
2102	155-159	-0.22697555947345194
2102	160-164	-0.08764875814677708
2102	165-169	-0.40456746459445014
2102	170-174	-0.3358656379432574
2102	175-179	-0.3981251212140151
2102	180-184	-0.4381490995937938
2102	185-189	-0.19403181771915712
2102	190-194	-0.3142007646847276
2102	195-199	-0.41842950528653944
2102	200-204	-0.2488231748450076
2102	205-209	-0.2684205002899347
2102	210-214	-0.4538434711649231
2102	215-219	-0.42032854748460835
2102	220-224	-0.34325283702411014
2102	225-229	-0.29723184087090715
2102	230-234	-0.36910934030670006
2102	235-239	-1.1130387751093451
2102	240-244	-0.8869548643613925
2102	245-249	-0.5399788338500926
2102	250	-1.5966400668941532
2103	1	-0.3579187544630855
2103	2	0.12198770290557803
2103	3	0.10281447474277172
2103	4	-0.08274540435832733
2103	5	-0.03126275186759386
2103	6	0.06995769553128639
2103	7	0.029948247031796882
2103	8	-0.010348995540375938
2103	9	-0.013986051589768067
2103	10-14	-0.04124726269765233
